APIFamily, fileName, IsDependent, Flag
PaymentTransactions,	ChargeCreditCard,	1,	0
PaymentTransactions,	AuthorizeCreditCard,	1,	0
PaymentTransactions,	CapturePreviouslyAuthorizedgetAmount,	1,	0
PaymentTransactions,	CaptureFundsAuthorizedThroughAnotherChannel,	1,	0
PaymentTransactions,	Refund,	1,	0
PaymentTransactions,	Void,	1,	0
PaymentTransactions,	UpdateSplitTenderGroup,	0,	0
PaymentTransactions,	DebitBankAccount,	1,	0
PaymentTransactions,	CreditBankAccount,	1,	0
PaymentTransactions,	ChargeCustomerProfile,	1,	0
PaymentTransactions,	ChargeTokenizedCreditCard,	0,	0
MobileIn-AppTransactions,	CreateAnApplePayTransaction,	1,	0
MobileIn-AppTransactions,	CreateAnAndroidPayTransaction,	1,	0
VisaCheckout,	DecryptVisaCheckoutData,	0,	0
VisaCheckout,	CreateVisaCheckoutTransaction,	0,	0
PayPalExpressCheckout,	PayPalAuthorizeOnly,	1,	0
PayPalExpressCheckout,	PayPalAuthorizeCapture,	1,	0
PayPalExpressCheckout,	PayPalGetDetails,	1,	0
PayPalExpressCheckout,	PayPalAuthorizeOnlyContinue,	1,	0
PayPalExpressCheckout,	PayPalPriorAuthorizationCapture,	1,	0
PayPalExpressCheckout,	PayPalAuthorizeCaptureContinue,	1,	0
PayPalExpressCheckout,	PayPalCredit,	1,	0
PayPalExpressCheckout,	PayPalVoid,	1,	0
FraudManagement,	UpdateHeldTransaction,	1,	0
RecurringBilling,	CreateSubscription,	1,	0
RecurringBilling,	CreateSubscriptionFromCustomerProfile,	1,	0
RecurringBilling,	GetSubscription,	1,	0
RecurringBilling,	GetSubscriptionStatus,	1,	0
RecurringBilling,	UpdateSubscription,	1,	0
RecurringBilling,	CancelSubscription,	1,	0
RecurringBilling,	GetListOfSubscriptions,	0,	0
CustomerProfiles,	CreateCustomerProfile,	1,	0
CustomerProfiles,	GetCustomerProfile,	1,	0
CustomerProfiles,	GetCustomerProfileIds,	1,	0
CustomerProfiles,	UpdateCustomerProfile,	1,	0
CustomerProfiles,	DeleteCustomerProfile,	1,	0
CustomerProfiles,	CreateCustomerPaymentProfile,	1,	0
CustomerProfiles,	GetCustomerPaymentProfile,	1,	0
CustomerProfiles,	GetCustomerPaymentProfileList,	0,	0
CustomerProfiles,	ValidateCustomerPaymentProfile,	1,	0
CustomerProfiles,	UpdateCustomerPaymentProfile,	1,	0
CustomerProfiles,	DeleteCustomerPaymentProfile,	1,	0
CustomerProfiles,	CreateCustomerShippingAddress,	1,	0
CustomerProfiles,	GetCustomerShippingAddress,	1,	0
CustomerProfiles,	UpdateCustomerShippingAddress,	1,	0
CustomerProfiles,	DeleteCustomerShippingAddress,	1,	0
CustomerProfiles,	CreateCustomerProfileFromTransaction,	1,	0
TransactionReporting,	GetSettledBatchList,	0,	0
TransactionReporting,	GetTransactionList,	0,	1
TransactionReporting,	GetUnsettledTransactionList,	0,	0
TransactionReporting,	GetTransactionDetails,	1,	1
TransactionReporting,	GetBatchStatistics,	0,	0
TransactionReporting,	GetMerchantDetails,	0,	0
AcceptSuite,	CreateAnAcceptTransaction,	1,	0
AcceptSuite,	GetAcceptCustomerProfilePage,	1,	0
AcceptSuite,	GetAnAcceptPaymentPage,	1,	0
